schema_version,producer,producer_commit,producer_dirty,evaluator_api,campaign_id,run_id,point_id,yukawa_type,yukawa_type_installed,mh_input_GeV,mH_input_GeV,mA_input_GeV,mHp_input_GeV,sin_beta_minus_alpha_input,tan_beta_input,beta_input_rad,M2_input_GeV2,m12_sq_input_GeV2,lambda6_input,lambda7_input,lambda1_reconstructed,lambda2_reconstructed,lambda3_reconstructed,lambda4_reconstructed,lambda5_reconstructed,lambda6_reconstructed,lambda7_reconstructed,tan_beta_reconstructed,m12_sq_reconstructed_GeV2,M2_reconstructed_GeV2,construction_ok,numerical_ok,rejection_stage,rejection_reason,positivity_reported_ok,unitarity_ok,perturbativity_ok,stability_reported_ok,stability_dependency_alias,triple_ok_legacy,theory_ok_v1,experimental_evaluated,experimental_ok,two_hdmc_hphiphi_real_GeV,two_hdmc_hphiphi_imag_GeV,g_physical_hphiphi_GeV,g_physical_hphiphi_abs_GeV,g_hH2H2_GeV,width_bb_GeV,width_cc_GeV,width_tt_GeV,width_tautau_GeV,width_WW_GeV,width_ZZ_GeV,width_gammagamma_GeV,width_Zgamma_GeV,width_gg_GeV,width_hh_GeV,total_width_GeV,width_unaccounted_GeV,br_bb,br_cc,br_tt,br_tautau,br_WW,br_ZZ,br_gammagamma,br_Zgamma,br_gg,br_hh,width_ok,ctau_mm
dihiggs.point.v2,DihiggsPointV2Evaluator,c4fc29fc3593d4a537089e22e43504bfb9ed4a87,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_moderate_tanbeta,point_1e292ad139c5d2d6,1,1.00000000000000000e+00,1.25129999999999995e+02,1.50000000000000000e+02,4.50000000000000000e+02,5.50000000000000000e+02,9.94999999999999996e-01,1.00000000000000000e+02,1.56079666010823148e+00,1.20000000000000000e+04,1.19988001199878809e+02,5.00000000000000028e-02,1.00000000000000002e-02,6.71571528275213313e+03,2.59038909759607527e-01,1.02921529749173075e+01,-6.94153294506964880e+00,-3.64254039957943299e+00,5.00000000000000028e-02,1.00000000000000002e-02,1.00000000000001009e+02,1.19988001199818726e+02,1.19999999999939901e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,4.49439657550710581e+03,-4.49439657550710581e+03,4.49439657550710581e+03,4.49439657550710581e+03,2.51203796788256583e-05,1.12467244947443217e-06,0.00000000000000000e+00,2.51127215332238719e-06,1.14687407525005693e-04,1.38691595445720478e-05,8.19905630816166714e-07,1.58699496018271974e-09,4.41178004024164015e-06,0.00000000000000000e+00,1.62564205553050002e-04,1.80415358318067667e-08,1.54525896973230437e-01,6.91832771948936148e-03,0.00000000000000000e+00,1.54478788536439350e-02,7.05489914799106610e-01,8.53149652310519757e-02,5.04358033816124877e-03,9.76226565241529520e-06,2.71386928335951086e-02,0.00000000000000000e+00,1.00000000000000000e+00,1.21384027762252847e-09
dihiggs.point.v2,DihiggsPointV2Evaluator,c4fc29fc3593d4a537089e22e43504bfb9ed4a87,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_moderate_tanbeta,point_24fddb2dd22f8d7b,1,1.00000000000000000e+00,1.25129999999999995e+02,1.50000000000000000e+02,4.50000000000000000e+02,5.50000000000000000e+02,9.94999999999999996e-01,1.00000000000000000e+02,1.56079666010823148e+00,1.50000000000000000e+04,1.49985001499848494e+02,5.00000000000000028e-02,1.00000000000000002e-02,6.22086640092859125e+03,2.59033961270789370e-01,1.02426680867349553e+01,-6.89204805688729483e+00,-3.59305551139707990e+00,5.00000000000000028e-02,1.00000000000000002e-02,1.00000000000001009e+02,1.49985001499955303e+02,1.50000000000106793e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,4.15652652682673033e+03,-4.15652652682673033e+03,4.15652652682673033e+03,4.15652652682673033e+03,2.51203796788256583e-05,1.12467244947443217e-06,0.00000000000000000e+00,2.51127215332238719e-06,1.14687407525005693e-04,1.38691595445720478e-05,6.46056090119843628e-07,8.33238924153747940e-11,4.41178004024164015e-06,0.00000000000000000e+00,1.62388852341285893e-04,1.80415358318067667e-08,1.54692759488386566e-01,6.92579837383636935e-03,0.00000000000000000e+00,1.54645600182243478e-02,7.06251727698474885e-01,8.54070913403822407e-02,3.97845098850784645e-03,5.13113377020834193e-07,2.71679981515577547e-02,0.00000000000000000e+00,1.00000000000000000e+00,1.21515102517804670e-09
dihiggs.point.v2,DihiggsPointV2Evaluator,c4fc29fc3593d4a537089e22e43504bfb9ed4a87,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_moderate_tanbeta,point_540a8c2d2303fda4,1,1.00000000000000000e+00,1.25129999999999995e+02,1.50000000000000000e+02,4.50000000000000000e+02,5.50000000000000000e+02,9.94999999999999996e-01,1.00000000000000000e+02,1.56079666010823148e+00,1.80000000000000000e+04,1.79982001799818192e+02,5.00000000000000028e-02,1.00000000000000002e-02,5.72601751910504936e+03,2.59029012781971102e-01,1.01931831985526014e+01,-6.84256316870494175e+00,-3.54357062321472682e+00,5.00000000000000028e-02,1.00000000000000002e-02,1.00000000000001009e+02,1.79982001799909995e+02,1.80000000000091786e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,3.81865647814635395e+03,-3.81865647814635395e+03,3.81865647814635395e+03,3.81865647814635395e+03,2.51203796788256583e-05,1.12467244947443217e-06,0.00000000000000000e+00,2.51127215332238719e-06,1.14687407525005693e-04,1.38691595445720478e-05,4.92896615418776348e-07,3.37299690881980716e-09,4.41178004024164015e-06,0.00000000000000000e+00,1.62238982539601235e-04,1.80415358317796617e-08,1.54835658394824910e-01,6.93219614589180889e-03,0.00000000000000000e+00,1.54788455524824675e-02,7.06904134442604803e-01,8.54859869525297217e-02,3.03808990726667227e-03,2.07902987063943489e-05,2.71930948479953624e-02,0.00000000000000000e+00,1.00000000000000000e+00,1.21627353248368691e-09
dihiggs.point.v2,DihiggsPointV2Evaluator,c4fc29fc3593d4a537089e22e43504bfb9ed4a87,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_moderate_tanbeta,point_f1aaad0671d6cab2,1,1.00000000000000000e+00,1.25129999999999995e+02,1.50000000000000000e+02,4.50000000000000000e+02,5.50000000000000000e+02,9.94999999999999996e-01,1.00000000000000000e+02,1.56079666010823148e+00,2.10000000000000000e+04,2.09979002099787891e+02,5.00000000000000028e-02,1.00000000000000002e-02,5.23116863728150656e+03,2.59024064293152889e-01,1.01436983103702474e+01,-6.79307828052258955e+00,-3.49408573503237374e+00,5.00000000000000028e-02,1.00000000000000002e-02,1.00000000000001009e+02,2.09979002100046586e+02,2.10000000000258697e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,3.48078642946597620e+03,-3.48078642946597620e+03,3.48078642946597620e+03,3.48078642946597620e+03,2.51203796788256583e-05,1.12467244947443217e-06,0.00000000000000000e+00,2.51127215332238719e-06,1.14687407525005693e-04,1.38691595445720478e-05,3.60427206712966830e-07,1.14560140093960551e-08,4.41178004024164015e-06,0.00000000000000000e+00,1.62114596147995999e-04,1.80415358318067667e-08,1.54954459843288983e-01,6.93751504304836088e-03,0.00000000000000000e+00,1.54907220755731469e-02,7.07446523941042571e-01,8.55515781682653492e-02,2.22328658416376824e-03,7.06661477843595830e-05,2.72139594155610953e-02,0.00000000000000000e+00,1.00000000000000000e+00,1.21720674811944931e-09
dihiggs.point.v2,DihiggsPointV2Evaluator,c4fc29fc3593d4a537089e22e43504bfb9ed4a87,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_moderate_tanbeta,point_bdf1861004b3d691,1,1.00000000000000000e+00,1.25129999999999995e+02,1.50000000000000000e+02,4.50000000000000000e+02,5.50000000000000000e+02,9.94999999999999996e-01,1.00000000000000000e+02,1.56079666010823148e+00,2.40000000000000000e+04,2.39976002399757618e+02,5.00000000000000028e-02,1.00000000000000002e-02,4.73631975545796467e+03,2.59019115804334621e-01,1.00942134221878934e+01,-6.74359339234023558e+00,-3.44460084685002066e+00,5.00000000000000028e-02,1.00000000000000002e-02,1.00000000000001009e+02,2.39976002399637451e+02,2.39999999999879801e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,3.14291638078559845e+03,-3.14291638078559845e+03,3.14291638078559845e+03,3.14291638078559845e+03,2.51203796788256583e-05,1.12467244947443217e-06,0.00000000000000000e+00,2.51127215332238719e-06,1.14687407525005693e-04,1.38691595445720478e-05,2.48647864002413700e-07,2.43323751941441465e-08,4.41178004024164015e-06,0.00000000000000000e+00,1.62015693166470213e-04,1.80415358318067667e-08,1.55049052273069671e-01,6.94175007058629549e-03,0.00000000000000000e+00,1.55001784348264907e-02,7.07878386861975351e-01,8.56038033940426102e-02,1.53471468808227991e-03,1.50185298217640984e-04,2.72305722613460713e-02,0.00000000000000000e+00,1.00000000000000000e+00,1.21794979574754931e-09
dihiggs.point.v2,DihiggsPointV2Evaluator,c4fc29fc3593d4a537089e22e43504bfb9ed4a87,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_moderate_tanbeta,point_c95ec4da45fca219,1,1.00000000000000000e+00,1.25129999999999995e+02,1.75000000000000000e+02,4.50000000000000000e+02,5.50000000000000000e+02,9.94999999999999996e-01,1.00000000000000000e+02,1.56079666010823148e+00,1.20000000000000000e+04,1.19988001199878809e+02,5.00000000000000028e-02,1.00000000000000002e-02,8.04522738281288912e+03,2.60122674071290583e-01,1.14925186550317378e+01,-6.94153294506964880e+00,-3.64254039957943299e+00,5.00000000000000028e-02,1.00000000000000002e-02,1.00000000000001009e+02,1.19988001200000625e+02,1.20000000000121818e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,5.08255047000667764e+03,-5.08255047000667764e+03,5.08255047000667764e+03,5.08255047000667764e+03,2.84734324595905210e-05,1.27291407109045023e-06,0.00000000000000000e+00,2.93047231907177821e-06,4.51681112015187968e-03,1.56174219879668427e-04,1.98877717341023586e-06,3.17241424391425708e-07,6.87571885336915620e-06,0.00000000000000000e+00,4.71486462242210348e-03,2.07260896318769983e-08,6.03907741575053936e-03,2.69978922626315716e-04,0.00000000000000000e+00,6.21539016228709077e-04,9.57993809339009128e-01,3.31237972638627268e-02,4.21810026941678816e-04,6.72853729209415944e-05,1.45830673921597915e-03,0.00000000000000000e+00,1.00000000000000000e+00,4.18520988835157472e-11
dihiggs.point.v2,DihiggsPointV2Evaluator,c4fc29fc3593d4a537089e22e43504bfb9ed4a87,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_moderate_tanbeta,point_aa402ff8188f6850,1,1.00000000000000000e+00,1.25129999999999995e+02,1.75000000000000000e+02,4.50000000000000000e+02,5.50000000000000000e+02,9.94999999999999996e-01,1.00000000000000000e+02,1.56079666010823148e+00,1.50000000000000000e+04,1.49985001499848494e+02,5.00000000000000028e-02,1.00000000000000002e-02,7.55037850098934723e+03,2.60117725582472370e-01,1.14430337668493838e+01,-6.89204805688729483e+00,-3.59305551139707990e+00,5.00000000000000028e-02,1.00000000000000002e-02,1.00000000000001009e+02,1.49985001499955303e+02,1.50000000000106793e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,4.74468042132630035e+03,-4.74468042132630035e+03,4.74468042132630035e+03,4.74468042132630035e+03,2.84734324595905210e-05,1.27291407109045023e-06,0.00000000000000000e+00,2.93047231907177821e-06,4.51681112015187968e-03,1.56174219879668427e-04,1.65046951322620689e-06,3.09679677281844175e-07,6.87571885336915620e-06,0.00000000000000000e+00,4.71451875301480937e-03,2.07260896318769983e-08,6.03952045824030642e-03,2.69998728985107006e-04,0.00000000000000000e+00,6.21584613954037028e-04,9.58064090266583235e-01,3.31262273121300382e-02,3.50082288286747325e-04,6.56863814750577134e-05,1.45841372440661454e-03,0.00000000000000000e+00,1.00000000000000000e+00,4.18551692627831066e-11
dihiggs.point.v2,DihiggsPointV2Evaluator,c4fc29fc3593d4a537089e22e43504bfb9ed4a87,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_moderate_tanbeta,point_e72064f301b8866f,1,1.00000000000000000e+00,1.25129999999999995e+02,1.75000000000000000e+02,4.50000000000000000e+02,5.50000000000000000e+02,9.94999999999999996e-01,1.00000000000000000e+02,1.56079666010823148e+00,1.80000000000000000e+04,1.79982001799818192e+02,5.00000000000000028e-02,1.00000000000000002e-02,7.05552961916580534e+03,2.60112777093654102e-01,1.13935488786670298e+01,-6.84256316870494175e+00,-3.54357062321472682e+00,5.00000000000000028e-02,1.00000000000000002e-02,1.00000000000001009e+02,1.79982001799909995e+02,1.80000000000091786e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,4.40681037264592214e+03,-4.40681037264592214e+03,4.40681037264592214e+03,4.40681037264592214e+03,2.84734324595905210e-05,1.27291407109045023e-06,0.00000000000000000e+00,2.93047231907177821e-06,4.51681112015187968e-03,1.56174219879668427e-04,1.34525707042141644e-06,3.13942176244312489e-07,6.87571885336915620e-06,0.00000000000000000e+00,4.71421780307096708e-03,2.07260896318769983e-08,6.03990601389739999e-03,2.70015965376321819e-04,0.00000000000000000e+00,6.21624295161498524e-04,9.58125251915494580e-01,3.31283420502829495e-02,2.85361671144061314e-04,6.65947542856000778e-05,1.45850682776899488e-03,0.00000000000000000e+00,1.00000000000000000e+00,4.18578412459975743e-11
dihiggs.point.v2,DihiggsPointV2Evaluator,c4fc29fc3593d4a537089e22e43504bfb9ed4a87,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_moderate_tanbeta,point_9806aecd8f30303d,1,1.00000000000000000e+00,1.25129999999999995e+02,1.75000000000000000e+02,4.50000000000000000e+02,5.50000000000000000e+02,9.94999999999999996e-01,1.00000000000000000e+02,1.56079666010823148e+00,2.10000000000000000e+04,2.09979002099787891e+02,5.00000000000000028e-02,1.00000000000000002e-02,6.56068073734226346e+03,2.60107828604835889e-01,1.13440639904846776e+01,-6.79307828052258955e+00,-3.49408573503237374e+00,5.00000000000000028e-02,1.00000000000000002e-02,1.00000000000001009e+02,2.09979002100046586e+02,2.10000000000258697e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,4.06894032396554576e+03,-4.06894032396554576e+03,4.06894032396554576e+03,4.06894032396554576e+03,2.84734324595905210e-05,1.27291407109045023e-06,0.00000000000000000e+00,2.93047231907177821e-06,4.51681112015187968e-03,1.56174219879668427e-04,1.07313984499586135e-06,3.30028921278830436e-07,6.87571885336915620e-06,0.00000000000000000e+00,4.71396177259057660e-03,2.07260896318769983e-08,6.04023406068964191e-03,2.70030630815004495e-04,0.00000000000000000e+00,6.21658057583552594e-04,9.58177290790724445e-01,3.31301413574769527e-02,2.27651367738205710e-04,7.00109456122003613e-05,1.45858604398282541e-03,0.00000000000000000e+00,1.00000000000000000e+00,4.18601146804714448e-11
dihiggs.point.v2,DihiggsPointV2Evaluator,c4fc29fc3593d4a537089e22e43504bfb9ed4a87,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_moderate_tanbeta,point_9a828a5fee1df9e6,1,1.00000000000000000e+00,1.25129999999999995e+02,1.75000000000000000e+02,4.50000000000000000e+02,5.50000000000000000e+02,9.94999999999999996e-01,1.00000000000000000e+02,1.56079666010823148e+00,2.40000000000000000e+04,2.39976002399757618e+02,5.00000000000000028e-02,1.00000000000000002e-02,6.06583185551872066e+03,2.60102880116017621e-01,1.12945791023023219e+01,-6.74359339234023558e+00,-3.44460084685002066e+00,5.00000000000000028e-02,1.00000000000000002e-02,1.00000000000001009e+02,2.39976002399637451e+02,2.39999999999879801e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,3.73107027528516937e+03,-3.73107027528516937e+03,3.73107027528516937e+03,3.73107027528516937e+03,2.84734324595905210e-05,1.27291407109045023e-06,0.00000000000000000e+00,2.93047231907177821e-06,4.51681112015187968e-03,1.56174219879668427e-04,8.34117836949546479e-07,3.57939912385397913e-07,6.87571885336915620e-06,0.00000000000000000e+00,4.71375066157363621e-03,2.07260896318769983e-08,6.04050457986782079e-03,2.70042724462965381e-04,0.00000000000000000e+00,6.21685899290538814e-04,9.58220203918038749e-01,3.31316251308742954e-02,1.76954170221444199e-04,7.59352664330156617e-05,1.45865136852057630e-03,0.00000000000000000e+00,1.00000000000000000e+00,4.18619894362686672e-11
dihiggs.point.v2,DihiggsPointV2Evaluator,c4fc29fc3593d4a537089e22e43504bfb9ed4a87,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_moderate_tanbeta,point_68e9fefbf6cedbbc,1,1.00000000000000000e+00,1.25129999999999995e+02,2.00000000000000000e+02,4.50000000000000000e+02,5.50000000000000000e+02,9.94999999999999996e-01,1.00000000000000000e+02,1.56079666010823148e+00,1.20000000000000000e+04,1.19988001199878809e+02,5.00000000000000028e-02,1.00000000000000002e-02,9.57927980595991539e+03,2.61373171354001732e-01,1.28775559782406948e+01,-6.94153294506964880e+00,-3.64254039957943299e+00,5.00000000000000028e-02,1.00000000000000002e-02,1.00000000000001009e+02,1.19988001199909675e+02,1.20000000000030868e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,5.76118957904464696e+03,-5.76118957904464696e+03,5.76118957904464696e+03,5.76118957904464696e+03,3.17240403904823506e-05,1.41686031652043566e-06,0.00000000000000000e+00,3.34959696001414425e-06,1.00509272730907977e-02,3.48914085413874883e-03,5.97538162545035571e-06,1.96000728301405707e-06,1.04257049914341044e-05,0.00000000000000000e+00,1.35949430944508516e-02,2.33756543895763391e-08,2.33351770361079226e-03,1.04219657756328963e-04,0.00000000000000000e+00,2.46385507960042416e-04,7.39313670036129800e-01,2.56649905034390113e-01,4.39529726894507665e-04,1.44171790157333402e-04,7.66881105643586075e-04,0.00000000000000000e+00,1.00000000000000000e+00,1.45147338263257913e-11
dihiggs.point.v2,DihiggsPointV2Evaluator,c4fc29fc3593d4a537089e22e43504bfb9ed4a87,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_moderate_tanbeta,point_96a1da16d0f6b23d,1,1.00000000000000000e+00,1.25129999999999995e+02,2.00000000000000000e+02,4.50000000000000000e+02,5.50000000000000000e+02,9.94999999999999996e-01,1.00000000000000000e+02,1.56079666010823148e+00,1.50000000000000000e+04,1.49985001499848494e+02,5.00000000000000028e-02,1.00000000000000002e-02,9.08443092413637351e+03,2.61368222865183519e-01,1.28280710900583408e+01,-6.89204805688729483e+00,-3.59305551139707990e+00,5.00000000000000028e-02,1.00000000000000002e-02,1.00000000000001009e+02,1.49985001499864353e+02,1.50000000000015843e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,5.42331953036426876e+03,-5.42331953036426876e+03,5.42331953036426876e+03,5.42331953036426876e+03,3.17240403904823506e-05,1.41686031652043566e-06,0.00000000000000000e+00,3.34959696001414425e-06,1.00509272730907977e-02,3.48914085413874883e-03,5.24696916161192302e-06,1.77594596033524344e-06,1.04257049914341044e-05,0.00000000000000000e+00,1.35940306206643342e-02,2.33756543878416156e-08,2.33367433660613662e-03,1.04226653305213341e-04,0.00000000000000000e+00,2.46402046124746116e-04,7.39363295078381499e-01,2.56667132177478940e-01,3.85975970484867589e-04,1.30641603648856106e-04,7.66932581098202985e-04,0.00000000000000000e+00,1.00000000000000000e+00,1.45157081005866321e-11
dihiggs.point.v2,DihiggsPointV2Evaluator,c4fc29fc3593d4a537089e22e43504bfb9ed4a87,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_moderate_tanbeta,point_fac4f09a03631f1e,1,1.00000000000000000e+00,1.25129999999999995e+02,2.00000000000000000e+02,4.50000000000000000e+02,5.50000000000000000e+02,9.94999999999999996e-01,1.00000000000000000e+02,1.56079666010823148e+00,1.80000000000000000e+04,1.79982001799818192e+02,5.00000000000000028e-02,1.00000000000000002e-02,8.58958204231283162e+03,2.61363274376365307e-01,1.27785862018759868e+01,-6.84256316870494175e+00,-3.54357062321472682e+00,5.00000000000000028e-02,1.00000000000000002e-02,1.00000000000001009e+02,1.79982001800000944e+02,1.80000000000182736e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,5.08544948168389055e+03,-5.08544948168389055e+03,5.08544948168389055e+03,5.08544948168389055e+03,3.17240403904823506e-05,1.41686031652043566e-06,0.00000000000000000e+00,3.34959696001414425e-06,1.00509272730907977e-02,3.48914085413874883e-03,4.56837754163964955e-06,1.61476325670837354e-06,1.04257049914341044e-05,0.00000000000000000e+00,1.35931908463407351e-02,2.33756543878416156e-08,2.33381850877363442e-03,1.04233092328123394e-04,0.00000000000000000e+00,2.46417268607381477e-04,7.39408972235278461e-01,2.56682988827308334e-01,3.36078378747212917e-04,1.18792068393791821e-04,7.66979961459210088e-04,0.00000000000000000e+00,1.00000000000000000e+00,1.45166048671434718e-11
dihiggs.point.v2,DihiggsPointV2Evaluator,c4fc29fc3593d4a537089e22e43504bfb9ed4a87,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,off_seed_moderate_tanbeta,point_a7ecb087cc42b278,1,1.00000000000000000e+00,1.25129999999999995e+02,2.00000000000000000e+02,4.50000000000000000e+02,5.50000000000000000e+02,9.94999999999999996e-01,1.00000000000000000e+02,1.56079666010823148e+00,2.10000000000000000e+04,2.09979002099787891e+02,5.00000000000000028e-02,1.00000000000000002e-02,8.09473316048928973e+03,2.61358325887547038e-01,1.27291013136936328e+01,-6.79307828052258955e+00,-3.49408573503237374e+00,5.00000000000000028e-02,1.00000000000000002e-02,1.00000000000001009e+02,2.09979002099773737e+02,2.09999999999985812e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,4.74757943300351417e+03,-4.74757943300351417e+03,4.74757943300351417e+03,4.74757943300351417e+03,3.17240403904823506e-05,1.41686031652043566e-06,0.00000000000000000e+00,3.34959696001414425e-06,1.00509272730907977e-02,3.48914085413874883e-03,3.93960676553352342e-06,1.47645917213344484e-06,1.04257049914341044e-05,0.00000000000000000e+00,1.35924237714800545e-02,2.33756543895763391e-08,2.33395021549037381e-03,1.04238974618590504e-04,0.00000000000000000e+00,2.46431174919836454e-04,7.39450700042172837e-01,2.56697474475431453e-01,2.89838429978890111e-04,1.08623686029520836e-04,7.67023245207345996e-04,0.00000000000000000e+00,1.00000000000000000e+00,1.45174240972412990e-11
